order_date,region,category,orders,revenue,discount
2026-01-01,North,Electronics,14,18200,5
2026-01-02,South,Home,11,9100,8
2026-01-03,East,Electronics,18,22100,4
2026-01-04,West,Fashion,9,6200,12
2026-01-05,North,Home,13,10400,7
2026-01-06,South,Fashion,15,9700,10
2026-01-07,East,Electronics,20,24500,5
2026-01-08,West,Home,10,8300,9
2026-01-09,North,Fashion,12,7800,11
2026-01-10,South,Electronics,17,19900,6
2026-01-11,East,Home,16,13200,8
2026-01-12,West,Electronics,8,9800,5
2026-01-13,North,Electronics,21,26200,4
2026-01-14,South,Home,12,9600,7
2026-01-15,East,Fashion,13,8500,10
2026-01-16,West,Home,11,9100,9
2026-01-17,North,Fashion,14,8900,12
2026-01-18,South,Electronics,19,23000,5
2026-01-19,East,Home,17,14000,8
2026-01-20,West,Electronics,10,12100,6
2026-01-21,North,Electronics,23,28700,4
2026-01-22,South,Fashion,16,10200,10
2026-01-23,East,Home,18,15100,7
2026-01-24,West,Electronics,9,11000,6
